lam(micras) energia(erg/sec/micras)
17.480000 2.93314e+013
17.640000 2.97940e+013
17.800000 3.04558e+013
17.950000 3.13048e+013
17.970000 3.14475e+013
18.140000 3.29060e+013
18.200000 3.34698e+013
18.290000 3.39828e+013
18.300000 3.40197e+013
18.400000 3.39112e+013
18.460000 3.35787e+013
18.630000 3.27329e+013
18.650000 3.26562e+013
18.800000 3.23360e+013
18.960000 3.22510e+013
19.120000 3.23510e+013
19.290000 3.25615e+013
19.460000 3.28679e+013
19.580000 3.31098e+013
19.620000 3.31774e+013
19.780000 3.35667e+013
19.980000 3.41258e+013
20.130000 3.46236e+013
20.190000 3.48479e+013
20.390000 3.58048e+013
20.590000 3.72061e+013
20.770000 3.91307e+013
20.790000 3.93971e+013
20.800000 3.94784e+013
20.980000 4.25055e+013
21.000000 4.28190e+013
21.190000 4.52195e+013
21.200000 4.52408e+013
21.240000 4.52412e+013
21.400000 4.38272e+013
21.510000 4.24607e+013
21.600000 4.14072e+013
21.610000 4.13832e+013
21.630000 4.11835e+013
21.780000 4.02059e+013
21.810000 4.00432e+013
22.010000 3.94859e+013
22.040000 3.94516e+013
22.210000 3.94227e+013
22.300000 3.95156e+013
22.420000 3.97282e+013
22.540000 4.00536e+013
22.570000 4.01295e+013
22.620000 4.02862e+013
22.820000 4.11216e+013
22.840000 4.12034e+013
23.090000 4.20700e+013
23.100000 4.20882e+013
23.360000 4.20013e+013
23.630000 4.16833e+013
23.660000 4.16653e+013
23.900000 4.16577e+013
24.080000 4.17547e+013
24.160000 4.18451e+013
24.420000 4.21489e+013
24.690000 4.25656e+013
24.960000 4.30061e+013
25.220000 4.34541e+013
26.340000 4.55682e+013
28.810000 5.04175e+013
31.510000 5.61823e+013
34.470000 6.27009e+013
37.700000 7.00843e+013
41.240000 7.10978e+013
45.110000 7.23564e+013
49.340000 7.40100e+013
53.970000 7.59898e+013
59.030000 7.80967e+013
64.570000 7.27058e+013
70.630000 6.64699e+013
77.260000 6.08423e+013
84.500000 5.55419e+013
92.430000 4.74073e+013
101.10000 4.03793e+013
110.60000 3.42639e+013
121.00000 2.87980e+013
132.30000 2.33377e+013
144.70000 1.86952e+013
158.30000 1.46158e+013
173.20000 1.13429e+013
189.40000 8.73134e+012
207.20000 6.53302e+012
226.60000 4.85151e+012
247.90000 3.57224e+012
271.10000 2.60852e+012
296.60000 1.88905e+012
324.40000 1.34756e+012
354.80000 9.53348e+011
388.10000 6.70249e+011
424.50000 4.68223e+011
464.30000 3.25056e+011
507.90000 2.23730e+011
555.50000 1.53151e+011
607.70000 1.04464e+011
664.70000 7.09900e+010
727.00000 4.81928e+010
795.20000 3.26748e+010
869.80000 2.21886e+010
951.40000 1.51082e+010
1041.0000 1.03642e+010
1138.0000 7.16371e+009
1245.0000 5.02482e+009
1362.0000 3.59840e+009
1490.0000 2.62985e+009
1629.0000 1.99064e+009
1782.0000 1.55194e+009
1950.0000 1.24312e+009
2132.0000 1.04937e+009
2333.0000 9.00305e+008
2551.0000 7.99738e+008
2791.0000 7.23706e+008
3053.0000 6.58532e+008
3339.0000 6.21054e+008
3652.0000 5.81764e+008
3995.0000 5.52109e+008
4370.0000 5.27459e+008
4780.0000 4.99510e+008
5228.0000 4.84008e+008
5718.0000 4.64187e+008
6255.0000 4.47170e+008
6842.0000 4.33167e+008
7484.0000 4.15437e+008
8186.0000 4.04961e+008
8954.0000 3.91827e+008
9794.0000 3.79028e+008
10710.000 3.69709e+008
11720.000 3.57226e+008
12820.000 3.49217e+008
14020.000 3.39985e+008
15330.000 3.27602e+008
16770.000 3.23158e+008
